TableName,varName,longDescription
IC2022_AY,chg8ay3,"Price of attendance for full-time, first-time undergraduate students for the FULL ACADEMIC YEAR: (Tuition and fees, books and supplies, room and board, and other expenses are those amounts used by your financial aid office for determining eligibility for student financial assistance) These data are published at the IPEDS College Navigator Web site

Off-campus (not with family) other expenses for 2022-23
OTHER EXPENSES - The amount of money (estimated by the financial aid office) needed by a student to cover expenses such as laundry, transportation, entertainment, and furnishings. (For the purpose of this survey room and board and tuition and fees are not included.) 
UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 
FULL-TIME Undergraduate - A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term 
FIRST-TIME FIRST-YEAR STUDENT - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in the fall term who attended college for the first time in the prior summer term. Also includes students who entered with advanced standing (college credits earned before graduation from high school).
FIRST-YEAR STUDENT A student who has completed less than the equivalent of 1 full year of undergraduate work; that is, less than 30 semester hours (in a 120-hour degree program) or less than 900 clock hours. 
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan. Also included are ""Other Academic calendar Systems"" which is a category used to describe ""non-traditional"" calendar systems at 4-year and 2-year degree-granting institutions. These can include schools that offer primarily on-line courses or ""one course at a time""."
C2022_A,CTOTALT,"Awards/degrees conferred between July 1, 2021 and June 30, 2022 to all recipients, across all race/ethnicities and both genders"
C2022_C,CS2MORT,"Number of  men and women of two or more races receiving awards/degrees conferred between July 1, 2021 and June 30, 2022. 

Two or more races - Category used by institutions to report persons who selected more than one race."
IC2022_PY,CIPCODE1,"Price of attendance for entering students in the largest program:(Books and supplies, room and board, and other expenses are those amounts used by your financial aid office for determining eligibility for student financial assistance) These data are published at the IPEDS College Navigator Web site

CIP code of the largest program

CIP CODE - A six-digit code in the form xx.xxxx that identifies instructional program specialties within educational institutions"
IC2022_PY,CIPLGTH1,"Price of attendance for entering students in the largest program:(Books and supplies, room and board, and other expenses are those amounts used by your financial aid office for determining eligibility for student financial assistance) These data are published at the IPEDS College Navigator Web site

Total length of largest program measured in clock or credit hours

Clock hour. A period of time consisting of (1) A 50- to 60-minute class, lecture, or recitation in a 60-minute period; (2) A 50- to 60-minute faculty-supervised laboratory, shop training, or internship in a 60-minute period; or (3) Sixty minutes of preparation in a correspondence course."
IC2022_PY,chg5py3,"Price of attendance for entering students in the largest program:(Books and supplies, room and board, and other expenses are those amounts used by your financial aid office for determining eligibility for student financial assistance) These data are published at the IPEDS College Navigator Web site

On campus room and board charges for 2022-23
ROOM CHARGES - The charges for an academic year for rooming accommodations for a typical student sharing a room with one other student. 
BOARD CHARGES - The charge for an academic year for meals, for a specified number of meals per week."
IC2022_PY,chg6py3,"Price of attendance for entering students in the largest program:(Books and supplies, room and board, and other expenses are those amounts used by your financial aid office for determining eligibility for student financial assistance) These data are published at the IPEDS College Navigator Web site

On campus other expenses for 2022-23
OTHER EXPENSES - The amount of money (estimated by the financial aid office) needed by a student to cover expenses such as laundry, transportation, entertainment, and furnishings. (For the purpose of this survey room and board and tuition and fees are not included.)"
IC2022_PY,chg7py3,"Price of attendance for entering students in the largest program:(Books and supplies, room and board, and other expenses are those amounts used by your financial aid office for determining eligibility for student financial assistance) These data are published at the IPEDS College Navigator Web site

Off campus (not-with-family) room and board charges for 2022-23
ROOM CHARGES - The charges for an academic year for rooming accommodations for a typical student sharing a room with one other student. 
BOARD CHARGES - The charge for an academic year for meals, for a specified number of meals per week."
IC2022_PY,chg8py3,"Price of attendance for entering students in the largest program:(Books and supplies, room and board, and other expenses are those amounts used by your financial aid office for determining eligibility for student financial assistance) These data are published at the IPEDS College Navigator Web site

Off campus (not with family) other expenses for 2022-23
OTHER EXPENSES - The amount of money (estimated by the financial aid office) needed by a student to cover expenses such as laundry, transportation, entertainment, and furnishings. (For the purpose of this survey room and board and tuition and fees are not included.)"
IC2022_PY,chg9py3,"Price of attendance for entering students in the largest program:(Books and supplies, room and board, and other expenses are those amounts used by your financial aid office for determining eligibility for student financial assistance) These data are published at the IPEDS College Navigator Web site

Off campus (with family) other expenses for 2022-23
OTHER EXPENSES - The amount of money (estimated by the financial aid office) needed by a student to cover expenses such as laundry, transportation, entertainment, and furnishings. (For the purpose of this survey room and board and tuition and fees are not included.)"
IC2022_PY,CIPCODE2,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

CIP code of the 2nd largest program

CIP CODE - A six-digit code in the form xx.xxxx that identifies instructional program specialties within educational institutions."
IC2022_PY,CIPTUIT2,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

Tuition and fees of the 2nd largest program

TUITION AND REQUIRED FEES - Tuition is the amount of money charged to students for instructional services. Tuition may be charged per term, per course, or per credit.
Required fees is the fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception."
IC2022_PY,CIPSUPP2,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

Cost of books and supplies for the 2nd largest program

BOOKS AND SUPPLIES - The average cost of books and supplies for a typical student for an entire academic year (or program). Do not include unusual costs for special groups of students (e.g., engineering or art majors), unless they constitute the majority of students at your institution."
IC2022_PY,CIPLGTH2,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

Total length of program in clock or credit hours of 2nd largest program 

Clock hour. A period of time consisting of (1) A 50- to 60-minute class, lecture, or recitation in a 60-minute period; (2) A 50- to 60-minute faculty-supervised laboratory, shop training, or internship in a 60-minute period; or (3) Sixty minutes of preparation in a correspondence course.

Credit hour  A unit of measure representing the equivalent of an hour (50 minutes) of instruction per week over the entire term. It is applied toward the total number of credit hours needed for completing the requirements of a degree, diploma, certificate, or other formal award."
IC2022_PY,CIPCODE3,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

CIP code of the 3rd largest program

CIP CODE - A six-digit code in the form xx.xxxx that identifies instructional program specialties within educational institutions."
IC2022_PY,CIPTUIT3,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

Tuition and fees of the 3rd largest program

TUITION AND REQUIRED FEES - Tuition is the amount of money charged to students for instructional services. Tuition may be charged per term, per course, or per credit.
Required fees is the fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception."
IC2022_PY,CIPSUPP3,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

Cost of books and supplies for the 3rd largest program

BOOKS AND SUPPLIES - The average cost of books and supplies for a typical student for an entire academic year (or program). Do not include unusual costs for special groups of students (e.g., engineering or art majors), unless they constitute the majority of students at your institution."
IC2022_PY,CIPLGTH3,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

Total length of program in clock or credit hours of 3rd largest program 

Clock hour. A period of time consisting of (1) A 50- to 60-minute class, lecture, or recitation in a 60-minute period; (2) A 50- to 60-minute faculty-supervised laboratory, shop training, or internship in a 60-minute period; or (3) Sixty minutes of preparation in a correspondence course.

Credit hour  A unit of measure representing the equivalent of an hour (50 minutes) of instruction per week over the entire term. It is applied toward the total number of credit hours needed for completing the requirements of a degree, diploma, certificate, or other formal award."
IC2022_PY,CIPCODE4,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

CIP code of the 4th largest program

CIP CODE - A six-digit code in the form xx.xxxx that identifies instructional program specialties within educational institutions."
IC2022_PY,CIPTUIT4,"Please list the five next largest programs and provide the requested information for each program. Report the tuition and fees and the cost of books and supplies for the TOTAL LENGTH OF THE PROGRAM. Also report the length of the entire program in terms of clock or credit hours. 

Tuition and fees of the 4th largest program

TUITION AND REQUIRED FEES - Tuition is the amount of money charged to students for instructional services. Tuition may be charged per term, per course, or per credit.
Required fees is the fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception."
